,Move,Type,Power,Accuracy,PP,Pokemon
1739,Submission,Fighting,80,80,25,Machop
1740,Mega Punch,Normal,80,85,20,Machop
1741,Mega Kick,Normal,120,75,5,Machop
1742,Toxic,Poison,0,85,10,Machop
1743,Body Slam,Normal,85,100,15,Machop
1744,Take Down,Normal,90,85,20,Machop
1745,Double-Edge,Normal,100,100,15,Machop
1746,Submission,Fighting,80,80,25,Machop
1747,Counter,Fighting,0,100,20,Machop
1748,Seismic Toss,Fighting,0,100,20,Machop
1749,Rage,Normal,20,100,20,Machop
1750,Earthquake,Ground,100,100,10,Machop
1751,Fissure,Ground,0,30,5,Machop
1752,Dig,Ground,100,100,10,Machop
1753,Mimic,Normal,0,100,10,Machop
1754,Double Team,Normal,0,0,15,Machop
1755,Bide,Normal,0,0,10,Machop
1756,Metronome,Normal,0,0,10,Machop
1757,Fire Blast,Fire,120,85,5,Machop
1758,Skull Bash,Normal,100,100,15,Machop
1759,Rest,Psychic,0,0,10,Machop
1760,Rock Slide,Rock,75,90,10,Machop
1761,Substitute,Normal,0,0,10,Machop
1762,Strength,Normal,80,100,15,Machop
1763,Karate Chop,Normal,50,100,25,Machoke
1764,Low Kick,Fighting,50,90,20,Machoke
1765,Leer,Normal,0,100,30,Machoke
1766,Low Kick,Fighting,50,90,20,Machoke
1767,Leer,Normal,0,100,30,Machoke
1768,Focus Energy,Normal,0,0,30,Machoke
1769,Seismic Toss,Fighting,0,100,20,Machoke
1770,Submission,Fighting,80,80,25,Machoke
1771,Mega Punch,Normal,80,85,20,Machoke
1772,Mega Kick,Normal,120,75,5,Machoke
1773,Toxic,Poison,0,85,10,Machoke
1774,Body Slam,Normal,85,100,15,Machoke
1775,Take Down,Normal,90,85,20,Machoke
1776,Double-Edge,Normal,100,100,15,Machoke
1777,Submission,Fighting,80,80,25,Machoke
1778,Counter,Fighting,0,100,20,Machoke
1779,Seismic Toss,Fighting,0,100,20,Machoke
1780,Rage,Normal,20,100,20,Machoke
1781,Earthquake,Ground,100,100,10,Machoke
1782,Fissure,Ground,0,30,5,Machoke
1783,Dig,Ground,100,100,10,Machoke
1784,Mimic,Normal,0,100,10,Machoke
1785,Double Team,Normal,0,0,15,Machoke
1786,Bide,Normal,0,0,10,Machoke
1787,Metronome,Normal,0,0,10,Machoke
1788,Fire Blast,Fire,120,85,5,Machoke
1789,Skull Bash,Normal,100,100,15,Machoke
1790,Rest,Psychic,0,0,10,Machoke
1791,Rock Slide,Rock,75,90,10,Machoke
1792,Substitute,Normal,0,0,10,Machoke
1793,Strength,Normal,80,100,15,Machoke
1794,Karate Chop,Normal,50,100,25,Machamp
1795,Low Kick,Fighting,50,90,20,Machamp
1796,Leer,Normal,0,100,30,Machamp
1797,Low Kick,Fighting,50,90,20,Machamp
1798,Leer,Normal,0,100,30,Machamp
1799,Focus Energy,Normal,0,0,30,Machamp
1800,Seismic Toss,Fighting,0,100,20,Machamp
1801,Submission,Fighting,80,80,25,Machamp
1802,Mega Punch,Normal,80,85,20,Machamp
1803,Mega Kick,Normal,120,75,5,Machamp
1804,Toxic,Poison,0,85,10,Machamp
1805,Body Slam,Normal,85,100,15,Machamp
1806,Take Down,Normal,90,85,20,Machamp
1807,Double-Edge,Normal,100,100,15,Machamp
1808,Hyper Beam,Normal,150,90,5,Machamp
1809,Submission,Fighting,80,80,25,Machamp
1810,Counter,Fighting,0,100,20,Machamp
1811,Seismic Toss,Fighting,0,100,20,Machamp
1812,Rage,Normal,20,100,20,Machamp
1813,Earthquake,Ground,100,100,10,Machamp
1814,Fissure,Ground,0,30,5,Machamp
1815,Dig,Ground,100,100,10,Machamp
1816,Mimic,Normal,0,100,10,Machamp
1817,Double Team,Normal,0,0,15,Machamp
1818,Bide,Normal,0,0,10,Machamp
1819,Metronome,Normal,0,0,10,Machamp
1820,Fire Blast,Fire,120,85,5,Machamp
1821,Skull Bash,Normal,100,100,15,Machamp
1822,Rest,Psychic,0,0,10,Machamp
1823,Rock Slide,Rock,75,90,10,Machamp
1824,Substitute,Normal,0,0,10,Machamp
1825,Strength,Normal,80,100,15,Machamp
1826,Vine Whip,Grass,35,100,10,Bellsprout
1827,Growth,Normal,0,0,40,Bellsprout
1828,Wrap,Normal,15,85,20,Bellsprout
1829,PoisonPowder,Poison,0,75,35,Bellsprout
1830,Sleep Powder,Grass,0,75,15,Bellsprout
1831,Stun Spore,Grass,0,75,30,Bellsprout
1832,Acid,Poison,40,100,30,Bellsprout
1833,Razor Leaf,Grass,55,95,25,Bellsprout
1834,Slam,Normal,80,75,20,Bellsprout
1835,Swords Dance,Normal,0,0,30,Bellsprout
1836,Toxic,Poison,0,85,10,Bellsprout
1837,Take Down,Normal,90,85,20,Bellsprout
1838,Double-Edge,Normal,100,100,15,Bellsprout
1839,Rage,Normal,20,100,20,Bellsprout
1840,Mega Drain,Grass,40,100,10,Bellsprout
1841,SolarBeam,Grass,120,100,10,Bellsprout
1842,Mimic,Normal,0,100,10,Bellsprout
1843,Double Team,Normal,0,0,15,Bellsprout
1844,Reflect,Psychic,0,0,20,Bellsprout
1845,Bide,Normal,0,0,10,Bellsprout
1846,Rest,Psychic,0,0,10,Bellsprout
1847,Substitute,Normal,0,0,10,Bellsprout
1848,Cut,Normal,50,95,30,Bellsprout
1849,Vine Whip,Grass,35,100,10,Weepinbell
1850,Growth,Normal,0,0,40,Weepinbell
1851,Wrap,Normal,15,85,20,Weepinbell
1852,Wrap,Normal,15,85,20,Weepinbell
1853,PoisonPowder,Poison,0,75,35,Weepinbell
1854,Sleep Powder,Grass,0,75,15,Weepinbell
1855,Stun Spore,Grass,0,75,30,Weepinbell
1856,Acid,Poison,40,100,30,Weepinbell
1857,Razor Leaf,Grass,55,95,25,Weepinbell
1858,Slam,Normal,80,75,20,Weepinbell
1859,Swords Dance,Normal,0,0,30,Weepinbell
1860,Toxic,Poison,0,85,10,Weepinbell
1861,Take Down,Normal,90,85,20,Weepinbell
1862,Double-Edge,Normal,100,100,15,Weepinbell
1863,Rage,Normal,20,100,20,Weepinbell
1864,Mega Drain,Grass,40,100,10,Weepinbell
1865,SolarBeam,Grass,120,100,10,Weepinbell
1866,Mimic,Normal,0,100,10,Weepinbell
1867,Double Team,Normal,0,0,15,Weepinbell
1868,Reflect,Psychic,0,0,20,Weepinbell
1869,Bide,Normal,0,0,10,Weepinbell
1870,Rest,Psychic,0,0,10,Weepinbell
1871,Substitute,Normal,0,0,10,Weepinbell
1872,Cut,Normal,50,95,30,Weepinbell
1873,Sleep Powder,Grass,0,75,15,Victreebel
1874,Stun Spore,Grass,0,75,30,Victreebel
1875,Acid,Poison,40,100,30,Victreebel
1876,Razor Leaf,Grass,55,95,25,Victreebel
1877,Wrap,Normal,15,85,20,Victreebel
1878,PoisonPowder,Poison,0,75,35,Victreebel
1879,Sleep Powder,Grass,0,75,15,Victreebel
1880,Swords Dance,Normal,0,0,30,Victreebel
1881,Toxic,Poison,0,85,10,Victreebel
1882,Body Slam,Normal,85,100,15,Victreebel
1883,Take Down,Normal,90,85,20,Victreebel
1884,Double-Edge,Normal,100,100,15,Victreebel
1885,Hyper Beam,Normal,150,90,5,Victreebel
1886,Rage,Normal,20,100,20,Victreebel
1887,Mega Drain,Grass,40,100,10,Victreebel
1888,SolarBeam,Grass,120,100,10,Victreebel
1889,Mimic,Normal,0,100,10,Victreebel
1890,Double Team,Normal,0,0,15,Victreebel
1891,Reflect,Psychic,0,0,20,Victreebel
1892,Bide,Normal,0,0,10,Victreebel
1893,Rest,Psychic,0,0,10,Victreebel
1894,Substitute,Normal,0,0,10,Victreebel
1895,Cut,Normal,50,95,30,Victreebel
1896,Acid,Poison,40,100,30,Tentacool
1897,Supersonic,Normal,0,55,20,Tentacool
1898,Wrap,Normal,15,85,20,Tentacool
1899,Poison Sting,Poison,15,100,35,Tentacool
1900,Water Gun,Water,40,100,25,Tentacool
1901,Constrict,Normal,10,100,35,Tentacool
1902,Barrier,Psychic,0,0,30,Tentacool
1903,Screech,Normal,0,85,40,Tentacool
1904,Hydro Pump,Water,120,80,5,Tentacool
1905,Swords Dance,Normal,0,0,30,Tentacool
1906,Toxic,Poison,0,85,10,Tentacool
1907,Take Down,Normal,90,85,20,Tentacool
1908,Double-Edge,Normal,100,100,15,Tentacool
1909,BubbleBeam,Water,65,100,20,Tentacool
1910,Water Gun,Water,40,100,25,Tentacool
1911,Ice Beam,Ice,95,100,10,Tentacool
1912,Blizzard,Ice,120,90,5,Tentacool
1913,Rage,Normal,20,100,20,Tentacool
1914,Mega Drain,Grass,40,100,10,Tentacool
1915,Mimic,Normal,0,100,10,Tentacool
1916,Double Team,Normal,0,0,15,Tentacool
1917,Reflect,Psychic,0,0,20,Tentacool
1918,Bide,Normal,0,0,10,Tentacool
1919,Skull Bash,Normal,100,100,15,Tentacool
1920,Rest,Psychic,0,0,10,Tentacool
1921,Substitute,Normal,0,0,10,Tentacool
1922,Cut,Normal,50,95,30,Tentacool
1923,Surf,Water,95,100,15,Tentacool
1924,Acid,Poison,40,100,30,Tentacruel
1925,Supersonic,Normal,0,55,20,Tentacruel
1926,Wrap,Normal,15,85,20,Tentacruel
1927,Supersonic,Normal,0,55,20,Tentacruel
1928,Wrap,Normal,15,85,20,Tentacruel
1929,Poison Sting,Poison,15,100,35,Tentacruel
1930,Water Gun,Water,40,100,25,Tentacruel
1931,Constrict,Normal,10,100,35,Tentacruel
1932,Barrier,Psychic,0,0,30,Tentacruel
1933,Screech,Normal,0,85,40,Tentacruel
1934,Hydro Pump,Water,120,80,5,Tentacruel
1935,Swords Dance,Normal,0,0,30,Tentacruel
1936,Toxic,Poison,0,85,10,Tentacruel
1937,Take Down,Normal,90,85,20,Tentacruel
1938,Double-Edge,Normal,100,100,15,Tentacruel
1939,BubbleBeam,Water,65,100,20,Tentacruel
1940,Water Gun,Water,40,100,25,Tentacruel
1941,Ice Beam,Ice,95,100,10,Tentacruel
1942,Blizzard,Ice,120,90,5,Tentacruel
1943,Hyper Beam,Normal,150,90,5,Tentacruel
1944,Rage,Normal,20,100,20,Tentacruel
1945,Mega Drain,Grass,40,100,10,Tentacruel
1946,Mimic,Normal,0,100,10,Tentacruel
1947,Double Team,Normal,0,0,15,Tentacruel
1948,Reflect,Psychic,0,0,20,Tentacruel
1949,Bide,Normal,0,0,10,Tentacruel
1950,Skull Bash,Normal,100,100,15,Tentacruel
1951,Rest,Psychic,0,0,10,Tentacruel
1952,Substitute,Normal,0,0,10,Tentacruel
1953,Cut,Normal,50,95,30,Tentacruel
1954,Surf,Water,95,100,15,Tentacruel
1955,Tackle,Normal,35,95,35,Geodude
1956,Defense Curl,Normal,0,0,40,Geodude
1957,Rock Throw,Rock,50,65,15,Geodude
1958,Selfdestruct,Normal,130,100,5,Geodude
1959,Harden,Normal,0,0,30,Geodude
1960,Earthquake,Ground,100,100,10,Geodude
1961,Explosion,Normal,170,100,5,Geodude
1962,Mega Punch,Normal,80,85,20,Geodude
1963,Toxic,Poison,0,85,10,Geodude
1964,Body Slam,Normal,85,100,15,Geodude
1965,Take Down,Normal,90,85,20,Geodude
1966,Double-Edge,Normal,100,100,15,Geodude
1967,Submission,Fighting,80,80,25,Geodude
1968,Counter,Fighting,0,100,20,Geodude
1969,Seismic Toss,Fighting,0,100,20,Geodude
1970,Rage,Normal,20,100,20,Geodude
1971,Earthquake,Ground,100,100,10,Geodude
1972,Fissure,Ground,0,30,5,Geodude
1973,Dig,Ground,100,100,10,Geodude
1974,Mimic,Normal,0,100,10,Geodude
1975,Double Team,Normal,0,0,15,Geodude
1976,Bide,Normal,0,0,10,Geodude
1977,Metronome,Normal,0,0,10,Geodude
1978,Selfdestruct,Normal,130,100,5,Geodude
1979,Fire Blast,Fire,120,85,5,Geodude
1980,Rest,Psychic,0,0,10,Geodude
1981,Explosion,Normal,170,100,5,Geodude
1982,Rock Slide,Rock,75,90,10,Geodude
1983,Substitute,Normal,0,0,10,Geodude
1984,Strength,Normal,80,100,15,Geodude
1985,Tackle,Normal,35,95,35,Graveler
1986,Defense Curl,Normal,0,0,40,Graveler
1987,Defense Curl,Normal,0,0,40,Graveler
1988,Rock Throw,Rock,50,65,15,Graveler
1989,Selfdestruct,Normal,130,100,5,Graveler
1990,Harden,Normal,0,0,30,Graveler
1991,Earthquake,Ground,100,100,10,Graveler
1992,Explosion,Normal,170,100,5,Graveler
1993,Mega Punch,Normal,80,85,20,Graveler
1994,Toxic,Poison,0,85,10,Graveler
1995,Body Slam,Normal,85,100,15,Graveler
1996,Take Down,Normal,90,85,20,Graveler
1997,Double-Edge,Normal,100,100,15,Graveler
1998,Submission,Fighting,80,80,25,Graveler
1999,Counter,Fighting,0,100,20,Graveler
2000,Seismic Toss,Fighting,0,100,20,Graveler
2001,Rage,Normal,20,100,20,Graveler
2002,Earthquake,Ground,100,100,10,Graveler
2003,Fissure,Ground,0,30,5,Graveler
2004,Dig,Ground,100,100,10,Graveler
2005,Mimic,Normal,0,100,10,Graveler
2006,Double Team,Normal,0,0,15,Graveler
2007,Bide,Normal,0,0,10,Graveler
2008,Metronome,Normal,0,0,10,Graveler
2009,Selfdestruct,Normal,130,100,5,Graveler
2010,Fire Blast,Fire,120,85,5,Graveler
2011,Rest,Psychic,0,0,10,Graveler
2012,Explosion,Normal,170,100,5,Graveler
2013,Rock Slide,Rock,75,90,10,Graveler
2014,Substitute,Normal,0,0,10,Graveler
2015,Strength,Normal,80,100,15,Graveler
2016,Tackle,Normal,35,95,35,Golem
2017,Defense Curl,Normal,0,0,40,Golem
2018,Defense Curl,Normal,0,0,40,Golem
2019,Rock Throw,Rock,50,65,15,Golem
2020,Selfdestruct,Normal,130,100,5,Golem
2021,Harden,Normal,0,0,30,Golem
2022,Earthquake,Ground,100,100,10,Golem
2023,Explosion,Normal,170,100,5,Golem
2024,Mega Punch,Normal,80,85,20,Golem
2025,Mega Kick,Normal,120,75,5,Golem
2026,Toxic,Poison,0,85,10,Golem
2027,Body Slam,Normal,85,100,15,Golem
2028,Take Down,Normal,90,85,20,Golem
2029,Double-Edge,Normal,100,100,15,Golem
2030,Hyper Beam,Normal,150,90,5,Golem
2031,Submission,Fighting,80,80,25,Golem
2032,Counter,Fighting,0,100,20,Golem
2033,Seismic Toss,Fighting,0,100,20,Golem
2034,Rage,Normal,20,100,20,Golem
2035,Earthquake,Ground,100,100,10,Golem
2036,Fissure,Ground,0,30,5,Golem
2037,Dig,Ground,100,100,10,Golem
2038,Mimic,Normal,0,100,10,Golem
2039,Double Team,Normal,0,0,15,Golem
2040,Bide,Normal,0,0,10,Golem
2041,Metronome,Normal,0,0,10,Golem
2042,Selfdestruct,Normal,130,100,5,Golem
2043,Fire Blast,Fire,120,85,5,Golem
2044,Rest,Psychic,0,0,10,Golem
2045,Explosion,Normal,170,100,5,Golem
2046,Rock Slide,Rock,75,90,10,Golem
2047,Substitute,Normal,0,0,10,Golem
2048,Strength,Normal,80,100,15,Golem
2049,Ember,Fire,40,100,25,Ponyta
2050,Tail Whip,Normal,0,100,30,Ponyta
2051,Stomp,Normal,65,100,20,Ponyta
2052,Growl,Normal,0,100,40,Ponyta
2053,Fire Spin,Fire,15,70,15,Ponyta
2054,Take Down,Normal,90,85,20,Ponyta
2055,Agility,Psychic,0,0,30,Ponyta
2056,Toxic,Poison,0,85,10,Ponyta
2057,Horn Drill,Normal,0,30,5,Ponyta
2058,Body Slam,Normal,85,100,15,Ponyta
2059,Take Down,Normal,90,85,20,Ponyta
2060,Double-Edge,Normal,100,100,15,Ponyta
2061,Rage,Normal,20,100,20,Ponyta
2062,Mimic,Normal,0,100,10,Ponyta
2063,Double Team,Normal,0,0,15,Ponyta
2064,Reflect,Psychic,0,0,20,Ponyta
2065,Bide,Normal,0,0,10,Ponyta
2066,Fire Blast,Fire,120,85,5,Ponyta
2067,Swift,Normal,60,0,20,Ponyta
2068,Skull Bash,Normal,100,100,15,Ponyta
2069,Rest,Psychic,0,0,10,Ponyta
2070,Substitute,Normal,0,0,10,Ponyta
2071,Ember,Fire,40,100,25,Rapidash
2072,Tail Whip,Normal,0,100,30,Rapidash
2073,Stomp,Normal,65,100,20,Rapidash
2074,Growl,Normal,0,100,40,Rapidash
2075,Tail Whip,Normal,0,100,30,Rapidash
2076,Stomp,Normal,65,100,20,Rapidash
2077,Growl,Normal,0,100,40,Rapidash
2078,Fire Spin,Fire,15,70,15,Rapidash
2079,Take Down,Normal,90,85,20,Rapidash
2080,Agility,Psychic,0,0,30,Rapidash
2081,Toxic,Poison,0,85,10,Rapidash
2082,Horn Drill,Normal,0,30,5,Rapidash
2083,Body Slam,Normal,85,100,15,Rapidash
2084,Take Down,Normal,90,85,20,Rapidash
2085,Double-Edge,Normal,100,100,15,Rapidash
2086,Hyper Beam,Normal,150,90,5,Rapidash
2087,Rage,Normal,20,100,20,Rapidash
2088,Mimic,Normal,0,100,10,Rapidash
2089,Double Team,Normal,0,0,15,Rapidash
2090,Reflect,Psychic,0,0,20,Rapidash
2091,Bide,Normal,0,0,10,Rapidash
2092,Fire Blast,Fire,120,85,5,Rapidash
2093,Swift,Normal,60,0,20,Rapidash
2094,Skull Bash,Normal,100,100,15,Rapidash
2095,Rest,Psychic,0,0,10,Rapidash
2096,Substitute,Normal,0,0,10,Rapidash
2097,Confusion,Psychic,50,100,25,Slowpoke
2098,Disable,Normal,0,55,20,Slowpoke
2099,Headbutt,Normal,70,100,15,Slowpoke
2100,Growl,Normal,0,100,40,Slowpoke
2101,Water Gun,Water,40,100,25,Slowpoke
2102,Amnesia,Psychic,0,0,20,Slowpoke
2103,Psychic,Psychic,90,100,10,Slowpoke
2104,Toxic,Poison,0,85,10,Slowpoke
2105,Body Slam,Normal,85,100,15,Slowpoke
2106,Take Down,Normal,90,85,20,Slowpoke
2107,Double-Edge,Normal,100,100,15,Slowpoke
2108,BubbleBeam,Water,65,100,20,Slowpoke
2109,Water Gun,Water,40,100,25,Slowpoke
2110,Ice Beam,Ice,95,100,10,Slowpoke
2111,Blizzard,Ice,120,90,5,Slowpoke
2112,Pay Day,Normal,40,100,20,Slowpoke
2113,Rage,Normal,20,100,20,Slowpoke
2114,Earthquake,Ground,100,100,10,Slowpoke
2115,Fissure,Ground,0,30,5,Slowpoke
2116,Dig,Ground,100,100,10,Slowpoke
2117,Psychic,Psychic,90,100,10,Slowpoke
2118,Teleport,Psychic,0,0,20,Slowpoke
2119,Mimic,Normal,0,100,10,Slowpoke
2120,Double Team,Normal,0,0,15,Slowpoke
2121,Reflect,Psychic,0,0,20,Slowpoke
2122,Bide,Normal,0,0,10,Slowpoke
2123,Fire Blast,Fire,120,85,5,Slowpoke
2124,Swift,Normal,60,0,20,Slowpoke
2125,Skull Bash,Normal,100,100,15,Slowpoke
2126,Rest,Psychic,0,0,10,Slowpoke
2127,Thunder Wave,Electric,0,100,20,Slowpoke
2128,Psywave,Psychic,0,80,15,Slowpoke
2129,Tri Attack,Normal,80,100,10,Slowpoke
2130,Substitute,Normal,0,0,10,Slowpoke
2131,Surf,Water,95,100,15,Slowpoke
2132,Strength,Normal,80,100,15,Slowpoke
2133,Flash,Normal,0,70,20,Slowpoke
2134,Confusion,Psychic,50,100,25,Slowbro
2135,Disable,Normal,0,55,20,Slowbro
2136,Headbutt,Normal,70,100,15,Slowbro
2137,Disable,Normal,0,55,20,Slowbro
2138,Headbutt,Normal,70,100,15,Slowbro
2139,Growl,Normal,0,100,40,Slowbro
2140,Water Gun,Water,40,100,25,Slowbro
2141,Withdraw,Water,0,0,40,Slowbro
2142,Amnesia,Psychic,0,0,20,Slowbro
2143,Psychic,Psychic,90,100,10,Slowbro
2144,Mega Punch,Normal,80,85,20,Slowbro
2145,Mega Kick,Normal,120,75,5,Slowbro
2146,Toxic,Poison,0,85,10,Slowbro
2147,Body Slam,Normal,85,100,15,Slowbro
2148,Take Down,Normal,90,85,20,Slowbro
2149,Double-Edge,Normal,100,100,15,Slowbro
2150,BubbleBeam,Water,65,100,20,Slowbro
2151,Water Gun,Water,40,100,25,Slowbro
2152,Ice Beam,Ice,95,100,10,Slowbro
2153,Blizzard,Ice,120,90,5,Slowbro
2154,Hyper Beam,Normal,150,90,5,Slowbro
2155,Pay Day,Normal,40,100,20,Slowbro
2156,Submission,Fighting,80,80,25,Slowbro
2157,Counter,Fighting,0,100,20,Slowbro
2158,Seismic Toss,Fighting,0,100,20,Slowbro
2159,Rage,Normal,20,100,20,Slowbro
2160,Earthquake,Ground,100,100,10,Slowbro
2161,Fissure,Ground,0,30,5,Slowbro
2162,Dig,Ground,100,100,10,Slowbro
2163,Psychic,Psychic,90,100,10,Slowbro
2164,Teleport,Psychic,0,0,20,Slowbro
2165,Mimic,Normal,0,100,10,Slowbro
2166,Double Team,Normal,0,0,15,Slowbro
2167,Reflect,Psychic,0,0,20,Slowbro
2168,Bide,Normal,0,0,10,Slowbro
2169,Fire Blast,Fire,120,85,5,Slowbro
2170,Swift,Normal,60,0,20,Slowbro
2171,Skull Bash,Normal,100,100,15,Slowbro
2172,Rest,Psychic,0,0,10,Slowbro
2173,Thunder Wave,Electric,0,100,20,Slowbro
2174,Psywave,Psychic,0,80,15,Slowbro
2175,Tri Attack,Normal,80,100,10,Slowbro
2176,Substitute,Normal,0,0,10,Slowbro
2177,Surf,Water,95,100,15,Slowbro
2178,Strength,Normal,80,100,15,Slowbro
2179,Flash,Normal,0,70,20,Slowbro
2180,Tackle,Normal,35,95,35,Magnemite
2181,SonicBoom,Normal,0,90,20,Magnemite
2182,ThunderShock,Electric,40,100,30,Magnemite
2183,Supersonic,Normal,0,55,20,Magnemite
2184,Thunder Wave,Electric,0,100,20,Magnemite
2185,Swift,Normal,60,0,20,Magnemite
2186,Screech,Normal,0,85,40,Magnemite
2187,Toxic,Poison,0,85,10,Magnemite
2188,Take Down,Normal,90,85,20,Magnemite
2189,Double-Edge,Normal,100,100,15,Magnemite
2190,Rage,Normal,20,100,20,Magnemite
2191,Thunderbolt,Electric,95,100,15,Magnemite
2192,Thunder,Electric,120,70,10,Magnemite
2193,Teleport,Psychic,0,0,20,Magnemite
2194,Mimic,Normal,0,100,10,Magnemite
2195,Double Team,Normal,0,0,15,Magnemite
2196,Reflect,Psychic,0,0,20,Magnemite
2197,Bide,Normal,0,0,10,Magnemite
2198,Swift,Normal,60,0,20,Magnemite
2199,Rest,Psychic,0,0,10,Magnemite
2200,Thunder Wave,Electric,0,100,20,Magnemite
2201,Substitute,Normal,0,0,10,Magnemite
2202,Flash,Normal,0,70,20,Magnemite
2203,Tackle,Normal,35,95,35,Magneton
2204,SonicBoom,Normal,0,90,20,Magneton
2205,ThunderShock,Electric,40,100,30,Magneton
2206,SonicBoom,Normal,0,90,20,Magneton
2207,ThunderShock,Electric,40,100,30,Magneton
2208,Supersonic,Normal,0,55,20,Magneton
2209,Thunder Wave,Electric,0,100,20,Magneton
2210,Swift,Normal,60,0,20,Magneton
2211,Screech,Normal,0,85,40,Magneton
2212,Toxic,Poison,0,85,10,Magneton
2213,Take Down,Normal,90,85,20,Magneton
2214,Double-Edge,Normal,100,100,15,Magneton
2215,Hyper Beam,Normal,150,90,5,Magneton
2216,Rage,Normal,20,100,20,Magneton
2217,Thunderbolt,Electric,95,100,15,Magneton
2218,Thunder,Electric,120,70,10,Magneton
2219,Teleport,Psychic,0,0,20,Magneton
2220,Mimic,Normal,0,100,10,Magneton
2221,Double Team,Normal,0,0,15,Magneton
2222,Reflect,Psychic,0,0,20,Magneton
2223,Bide,Normal,0,0,10,Magneton
2224,Swift,Normal,60,0,20,Magneton
2225,Rest,Psychic,0,0,10,Magneton
2226,Thunder Wave,Electric,0,100,20,Magneton
2227,Substitute,Normal,0,0,10,Magneton
2228,Flash,Normal,0,70,20,Magneton
2229,Peck,Flying,35,100,35,Farfetch'd
2230,Sand-Attack,Normal,0,100,15,Farfetch'd
2231,Leer,Normal,0,100,30,Farfetch'd
2232,Fury Attack,Normal,15,85,20,Farfetch'd
2233,Swords Dance,Normal,0,0,30,Farfetch'd
2234,Agility,Psychic,0,0,30,Farfetch'd
2235,Slash,Normal,70,100,20,Farfetch'd
2236,Razor Wind,Normal,80,75,10,Farfetch'd
2237,Swords Dance,Normal,0,0,30,Farfetch'd
2238,Whirlwind,Normal,0,85,20,Farfetch'd
2239,Toxic,Poison,0,85,10,Farfetch'd
2240,Body Slam,Normal,85,100,15,Farfetch'd
2241,Take Down,Normal,90,85,20,Farfetch'd
2242,Double-Edge,Normal,100,100,15,Farfetch'd
2243,Rage,Normal,20,100,20,Farfetch'd
2244,Mimic,Normal,0,100,10,Farfetch'd
2245,Double Team,Normal,0,0,15,Farfetch'd
2246,Reflect,Psychic,0,0,20,Farfetch'd
2247,Bide,Normal,0,0,10,Farfetch'd
2248,Swift,Normal,60,0,20,Farfetch'd
2249,Skull Bash,Normal,100,100,15,Farfetch'd
2250,Rest,Psychic,0,0,10,Farfetch'd
2251,Substitute,Normal,0,0,10,Farfetch'd
2252,Cut,Normal,50,95,30,Farfetch'd
2253,Fly,Flying,70,95,15,Farfetch'd
2254,Peck,Flying,35,100,35,Doduo
2255,Growl,Normal,0,100,40,Doduo
2256,Fury Attack,Normal,15,85,20,Doduo
2257,Drill Peck,Flying,80,100,20,Doduo
2258,Rage,Normal,20,100,20,Doduo
2259,Tri Attack,Normal,80,100,10,Doduo
2260,Agility,Psychic,0,0,30,Doduo
2261,Whirlwind,Normal,0,85,20,Doduo
2262,Toxic,Poison,0,85,10,Doduo
2263,Body Slam,Normal,85,100,15,Doduo
2264,Take Down,Normal,90,85,20,Doduo
2265,Double-Edge,Normal,100,100,15,Doduo
2266,Rage,Normal,20,100,20,Doduo
2267,Mimic,Normal,0,100,10,Doduo
2268,Double Team,Normal,0,0,15,Doduo
2269,Reflect,Psychic,0,0,20,Doduo
2270,Bide,Normal,0,0,10,Doduo
2271,Skull Bash,Normal,100,100,15,Doduo
2272,Sky Attack,Flying,140,90,5,Doduo
2273,Rest,Psychic,0,0,10,Doduo
2274,Tri Attack,Normal,80,100,10,Doduo
2275,Substitute,Normal,0,0,10,Doduo
2276,Fly,Flying,70,95,15,Doduo
2277,Peck,Flying,35,100,35,Dodrio
2278,Growl,Normal,0,100,40,Dodrio
2279,Fury Attack,Normal,15,85,20,Dodrio
2280,Growl,Normal,0,100,40,Dodrio
2281,Fury Attack,Normal,15,85,20,Dodrio
2282,Drill Peck,Flying,80,100,20,Dodrio
2283,Rage,Normal,20,100,20,Dodrio
2284,Tri Attack,Normal,80,100,10,Dodrio
2285,Agility,Psychic,0,0,30,Dodrio
2286,Whirlwind,Normal,0,85,20,Dodrio
2287,Toxic,Poison,0,85,10,Dodrio
2288,Body Slam,Normal,85,100,15,Dodrio
2289,Take Down,Normal,90,85,20,Dodrio
2290,Double-Edge,Normal,100,100,15,Dodrio
2291,Hyper Beam,Normal,150,90,5,Dodrio
2292,Rage,Normal,20,100,20,Dodrio
2293,Mimic,Normal,0,100,10,Dodrio
2294,Double Team,Normal,0,0,15,Dodrio
2295,Reflect,Psychic,0,0,20,Dodrio
2296,Bide,Normal,0,0,10,Dodrio
2297,Skull Bash,Normal,100,100,15,Dodrio
2298,Sky Attack,Flying,140,90,5,Dodrio
2299,Rest,Psychic,0,0,10,Dodrio
2300,Tri Attack,Normal,80,100,10,Dodrio
2301,Substitute,Normal,0,0,10,Dodrio
2302,Fly,Flying,70,95,15,Dodrio
2303,Headbutt,Normal,70,100,15,Seel
2304,Growl,Normal,0,100,40,Seel
2305,Aurora Beam,Ice,65,100,20,Seel
2306,Rest,Psychic,0,0,10,Seel
2307,Take Down,Normal,90,85,20,Seel
2308,Ice Beam,Ice,95,100,10,Seel
2309,Toxic,Poison,0,85,10,Seel
2310,Horn Drill,Normal,0,30,5,Seel
